지역,매장명,현황,번호
부산 사상구,부산백양대로점,"부산광역시 사상구 백양대로 621, 2~4층(괘법동 141) 할리스",051-311-5399
인천 남동구,간석오거리점,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,032-425-0915
서울 성동구,한양대병원점,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 본관 1층 (사근동 110, 한양대학부속병원) 할리스",02-2281-2116
서울 서초구,서초마제스타시티점,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티,힐스테이트서리풀) 1층",02-6411-0063
경기 시흥시,월곶점,경기도 시흥시 월곶중앙로 63 (월곶동) .,031-404-7966
대전 서구,대전만년점,"대전광역시 서구 둔산대로117번길 95 (만년동, 리더스타운) 만년동 309",042-485-9777
경북 구미시,(하)선산휴게소점,경상북도 구미시 옥성면 중부내륙고속도로 129 .,.
경기 수원시,화성융건릉점,"경기도 화성시 효행로 501-3 1,2층",031-224-6999
대전 서구,대전탄방점,"대전광역시 서구 계룡로571번길 23-19 (탄방동) 1층 102호,103호,104호 / 탄방동 688",042-482-8425
전북 전주시 완산구,서전주DT점,전라북도 전주시 완산구 유연로 5 (효자동3가 1045-50) ,063-901-0802
경기 김포시,김포한강생태공원점,"경기도 김포시 김포한강11로 452,1~2층  운양동 1264-4",031-996-2000
부산 동래구,부산명륜역점,부산광역시 동래구 온천장로 5 (온천동) 1층,051-557-7811
경남 진주시,진주평거점,"경상남도 진주시 진양호로 46 (평거동) 1층,2층 (에스원빌딩)",055-745-9633
경기 수원시 영통구,아주대병원점,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원) 아주대학교병원 본관 1층",031-211-5718
대구 수성구,대구수성못점,대구광역시 수성구 용학로 115 두산동 690,053-761-5655
울산 남구,울산시청점,울산광역시 남구 삼산로 60 (신정동) 1층,070-7733-7108
대구 동구,동대구역사점,대구광역시 동구 동대구로 550 (동대구역 내 1층),053-942-1033
서울 종로구,종로5가점,서울특별시 종로구 동호로 401(종로5가) .,02-2266-1989
부산 북구,부산덕천점,"부산광역시 북구 덕천1길 21, 1~2층 (덕천동 400-14) 할리스",051-342-8835
인천 부평구,부평로데오점,"인천광역시 부평구 시장로 17-1 (부평동, 인일 빌딩) 1,2,3층",032-505-7130
충북 청주시 흥덕구,충북오송점,충청북도 청주시 흥덕구 오송읍 만수1길 3 .,043-239-0075
서울 영등포구,여의도파이낸스타워점,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",02-761-3154
경기 김포시,김포농협본점,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층,031-986-7932
경기 남양주시,다산지금점,경기도 남양주시 다산중앙로82번안길 143-15 101호,070-7778-2409
서울 종로구,서울대병원점,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",02-741-5815
서울 영등포구,구로디지털뉴스테이점,서울시 영등포구 시흥대로 595 105호,070-7547-4100
경북 경주시,경주보불로점,경북 경주시 보불로 305 .,054-744-7700
울산 북구,울산명촌점,울산광역시 북구 명촌로 59 .,052-289-9905
전북 김제시,전북김제점,전북 김제시 검산택지 5길 21-10 1층,063-547-9600
대구 북구,대구침산네거리점,대구광역시 북구 침산남로 157 (침산동) .,053-353-5544
대구 동구,대구반야월점,대구광역시 동구 안심로 255 .,053-961-7007
서울 종로구,센터포인트점,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",02-6031-6213
서울 마포구,홍대입구역점,"서울특별시 마포구 양화로 151, 1층 (동교동 160-1) 할리스",02-322-3584
경기 고양시 일산동구,마두역점,"경기도 고양시 일산동구 중앙로 1165, 1층일부 1층",070-8866-7558
전북 군산시,군산미장점,전라북도 군산시 미장안길 54  통큰타운3동 105호,063-442-8777
서울 서초구,백석예술대학교점,"서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) 3층",02-585-9150
대전 중구,대전오류점,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 오류동 151-3",042-522-3141
서울 강남구,카페테리아&삼성점,"서울시 강남구 삼성로 512, 10층 인터파크 카페테리아 (삼성동) .",2188-7100
서울 강남구,역삼테헤란점,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 1층 (역삼동 647-9) 할리스",02-501-3573
대구 달성군,대구현풍테크노점,대구시 달성군 유가읍 테크노공원로 65 .,053-267-3338
전남 장흥군,전남장흥점,전라남도 장흥군 장흥읍 북부로 18 .,061-862-0119
경기 화성시,화성병점점,"경기도 화성시 병점동로 105 1,2층(진안동)",031-239-0455
경기 구리시,구리수택점,경기도 구리시 검배로 73 (수택동) 할리스,031-551-0988
서울 관악구,난곡사거리점,서울 관악구 남부순환로 1489 신림동 526-13,02-865-0012
서울 양천구,신정네거리역점,서울특별시 양천구 중앙로 252 2층 .,02-2645-9957
경북 구미시,구미CGV점,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동 68-1, 1층",054-604-0375
경기 부천시 원미구,역곡역점,경기 부천시 부일로726번길 5 (역곡동 80) 역곡역 2번출구 사거리에서 가톨릭대학교방향 좌회전 후 약 50M,070-8887-4965
경기 오산시,오산대역DT점,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,031-372-9750
서울 중구,을지로입구점,서울특별시 중구 명동3길 23 (을지로2가) 1~4층 할리스 ,02-318-6381
경북 구미시,구미금오산점,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점 ,054-441-4452
경기 화성시,(하)매송휴게소점,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,010-8883-8045
경기 화성시,(상)매송휴게소점,경기 화성시 매송면 서해안고속도로 316 서울방향 .,010-7319-1449
경남 창원시 의창구,창원팔용점,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,055-298-3434
전북 전주시 완산구,전주남천교점,전라북도 전주시 완산구 전주천서로 81  동서학동 66,063-232-6000
부산 연제구,부산연산점,부산광역시 연제구 반송로 89 (연산동) 1층,051-989-3296
대구 북구,대구침산점,"대구 북구 성북로 36,2층 601,602,603,604 473-3, 침산초등학교 맞은편",053-353-5412
대구 동구,대구안심점,대구시 동구 안심로 90길29 .,053-963-2223
강원 홍천군,(하)홍천휴게소점,강원도 홍천군 화촌면 서울양양고속도로 84 .,.
경기 화성시,동탄카림애비뉴점,경기도 화성시 동탄대로시범길 134 0001호 .,031-372-1650
대구 중구,대구동성로점,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",053-252-6307
서울 은평구,응암역점,서울특별시 은평구 증산로 475 .,02-3152-2910
경남 창원시 성산구,상남중앙점,경상남도 창원시 성산구 마디미로38번길 11 (상남동 25) 할리스,055-261-5925
인천 남구,인천주안역점,"인천광역시 미추홀구 주안로 105 1,2층 주안동 130-10 /남구->미추홀구 변경",032-425-1793
울산 남구,울산삼산대로점,울산광역시 남구 정동로 71 (삼산동) 삼산동,052-293-2234
경기 구리시,구리장자호수공원점,"경기도 구리시 장자대로 86번길 18 1,2층 (참참존빌딩)",031-568-7232
서울 서대문구,이대점,"서울특별시 서대문구 이화여대길 59 (대현동, 메르체쇼핑몰) 엘큐브 3층",02-392-1008
대구 동구,동대구환승센터점,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",053-742-0614
경기 수원시,수원경인일보점,경기도 수원시 팔달구 효원로 299 .,031-226-0530
부산 수영구,부산광안해변점,부산광역시 수영구 광안해변로 251 (민락동) 178-5,051-752-4551
경기 파주시,파주야당역점,"경기도 파주시 경의로 1042 (야당동) 1,2층",031 946 4823
서울 양천구,목동예술인회관점,"서울시 양천구 목동서로 225, 예술인회관 1층 1층",02-2655-1300
경기 고양시 덕양구,원당점,"경기도 고양시 덕양구 호국로 797, 대동피렌체 104~106호 1층",031-964-7785
충북 괴산군,(하)괴산휴게소점,충북 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소  할리스커피,043-832-7966
전남 보성군,(상)보성녹차휴게소점,전라남도 보성군 미력면 남해고속도로 63 (보성녹차(목포)주유소) 목포방향,070-4325-8801
전남 보성군,(하)보성녹차휴게소점,전남 보성군 겸백면 남해고속도로 70 .,070-4325-8808
서울 강남구,선릉샹제리제점,"서울특별시 강남구 테헤란로 406 (대치동, 샹제리제센터) 1층",02-501-4255
경기 양주시,양주고읍점,"경기도 양주시 고읍남로 10 (광사동) 1,2층",031-843-0078
인천 연수구,인천연수CGV점,인천 연수구 청능대로 210 (스쿼어원 4층) 동춘동 926 ,032-456-4499
경북 김천시,(상)추풍령휴게소점,경북 김천시 봉산면 경부고속도로 214-1 광천리 737-1 (서울방향),054-439-3187
울산 북구,울산풍차DT점,울산광역시 북구 산업로 1440 신천동 456,052-292-8181
서울 서초구,(하)만남의광장점,"서울특별시 서초구 양재대로12길 73-71 (원지동, 만남의광장) 할리스커피",02-578-3372
경기 시흥시,시흥하늘휴게소점,경기도 시흥시 수도권제1순환고속도로 105-1 (조남동) 조남동 15-10,010-8326-4908
대전 서구,대전타임월드점,대전광역시 서구 둔산로 32-13 (둔산동) .,042-489-1315
전남 무안군,남악신도시점,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호 .",061-282-8280
부산 기장군,(상)장안휴게소점,부산광역시 기장군 장안읍 동해고속도로 26 .,051-727-3714
부산 기장군,(하)장안휴게소점,부산광역시 기장군 장안읍 동해고속도로 25 (장안휴게소하행) .,051-727-3647
서울 중구,충무로역점,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",02-2268-8960
경기 이천시,(상)마장휴게소점,경기도 이천시 마장면 중부고속도로 82 마장휴게소 상행 하남방향,031-630-0001
세종 세종시,세종소담DI점,세종특별자치시 소담로 40 소담동 570,044-862-9027
부산 중구,부산BIFF광장점,"부산 중구 비프광장로 31-1, 1층 .",051-242-6552
부산 동구,부산역사점,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산지역본부) 2충 초량동 1187-1",051-441-0918
광주 북구,광주일곡점,광주광역시 북구 송해로 81 일곡동 821-5  1~3층,070-7716-0123
경기 양주시,양주점,경기도 양주시 평화로 1407 (덕계동) .,031-868-5779
충남 당진시,당진푸르지오점,충청남도 당진시 읍내동 1590 1층 희은빌라 .,041-354-2004
대전 유성구,대전전민점,대전광역시 유성구 전민로22번길 62 전민동 306-1,042-389-2831
강원 홍천군,홍천점,강원도 홍천군 홍천읍 꽃뫼로 98 .,033-432-3368
전남 목포시,목포하당점,전라남도 목포시 비파로51번길 37 (상동) .,061-283-9800
